site_index,site_type,id,composition,site_nrg,energyperatom,predicted_energyperatom
0,chalcogens,icsd_081584,Ba Mn3 O38 Ti18,-5.0048666,-8.18818686667,-8.192564964294434
0,chalcogens,icsd_002922,Ba O13 Ti6,-5.554515,-8.10092355,-8.111845970153809
1,chalcogens,icsd_002922,Ba O13 Ti6,-5.5545144,-8.10092355,-8.111845970153809
0,chalcogens,icsd_069991,Ba2 Nb15 O32,-5.700237,-8.09866204082,-8.103662490844728
1,chalcogens,icsd_069991,Ba2 Nb15 O32,-5.700237,-8.09866204082,-8.103662490844728
0,chalcogens,icsd_164868,Ba La2 O10 Ti3,-5.292637,-8.08824496875,-8.100019454956055
1,chalcogens,icsd_164868,Ba La2 O10 Ti3,-5.292637,-8.08824496875,-8.100019454956055
0,chalcogens,icsd_026174,Ba O11 Ti5,-5.5006566,-8.078952764710001,-8.07368278503418
1,chalcogens,icsd_026174,Ba O11 Ti5,-5.5006566,-8.078952764710001,-8.07368278503418
2,chalcogens,icsd_026174,Ba O11 Ti5,-5.5006566,-8.078952764710001,-8.07368278503418
3,chalcogens,icsd_026174,Ba O11 Ti5,-5.5006566,-8.078952764710001,-8.07368278503418
0,chalcogens,icsd_079976,Ba Nb8 O14,-5.022256,-8.07568680435,-8.075350761413574
1,chalcogens,icsd_079976,Ba Nb8 O14,-5.022256,-8.07568680435,-8.075350761413574
0,chalcogens,icsd_035582,Ba2 O20 Ti9,-5.305931,-8.059819725810003,-8.063149452209473
1,chalcogens,icsd_035582,Ba2 O20 Ti9,-5.3059316,-8.059819725810003,-8.063149452209473
2,chalcogens,icsd_035582,Ba2 O20 Ti9,-5.5080643,-8.059819725810003,-8.063149452209473
3,chalcogens,icsd_035582,Ba2 O20 Ti9,-5.5080643,-8.059819725810003,-8.063149452209473
4,chalcogens,icsd_035582,Ba2 O20 Ti9,-5.60588,-8.059819725810003,-8.063149452209473
5,chalcogens,icsd_035582,Ba2 O20 Ti9,-5.6058793,-8.059819725810003,-8.063149452209473
6,chalcogens,icsd_035582,Ba2 O20 Ti9,-5.5508447,-8.059819725810003,-8.063149452209473
7,chalcogens,icsd_035582,Ba2 O20 Ti9,-5.5508447,-8.059819725810003,-8.063149452209473
0,chalcogens,icsd_048019,Ba O9 Ti4,-5.4526596,-8.02849485714,-8.038554191589355
1,chalcogens,icsd_048019,Ba O9 Ti4,-5.4526596,-8.02849485714,-8.038554191589355
0,chalcogens,icsd_167599,Ba La2 O7 Sc2,-4.8802233,-8.001739291669999,-7.995665073394775
1,chalcogens,icsd_167599,Ba La2 O7 Sc2,-4.8802233,-8.001739291669999,-7.995665073394775
2,chalcogens,icsd_167599,Ba La2 O7 Sc2,-4.8802233,-8.001739291669999,-7.995665073394775
