site_index,site_type,id,composition,site_nrg,energyperatom,predicted_energyperatom
1,halogens,icsd_203141,B Ba2 Cl17 Zr6,-5.436484,-5.06810319231,-5.065624713897705
2,halogens,icsd_203141,B Ba2 Cl17 Zr6,-5.436484,-5.06810319231,-5.065624713897705
0,halogens,icsd_033993,Ba3 Be Cl18 Zr6,-5.573885400000001,-4.83963814286,-4.8414411544799805
1,halogens,icsd_033993,Ba3 Be Cl18 Zr6,-5.573885400000001,-4.83963814286,-4.8414411544799805
2,halogens,icsd_033993,Ba3 Be Cl18 Zr6,-5.1818233,-4.83963814286,-4.8414411544799805
3,halogens,icsd_033993,Ba3 Be Cl18 Zr6,-5.1818233,-4.83963814286,-4.8414411544799805
4,halogens,icsd_033993,Ba3 Be Cl18 Zr6,-5.1818233,-4.83963814286,-4.8414411544799805
5,halogens,icsd_033993,Ba3 Be Cl18 Zr6,-5.1818233,-4.83963814286,-4.8414411544799805
0,halogens,icsd_408056,Ba2 Cl7 Sc,-6.5903254,-4.56418265,-4.564112663269043
1,halogens,icsd_408056,Ba2 Cl7 Sc,-6.5903254,-4.56418265,-4.564112663269043
2,halogens,icsd_408056,Ba2 Cl7 Sc,-6.621907000000001,-4.56418265,-4.564112663269043
3,halogens,icsd_408056,Ba2 Cl7 Sc,-6.621907000000001,-4.56418265,-4.564112663269043
4,halogens,icsd_408056,Ba2 Cl7 Sc,-6.511221400000001,-4.56418265,-4.564112663269043
5,halogens,icsd_408056,Ba2 Cl7 Sc,-6.511221400000001,-4.56418265,-4.564112663269043
6,halogens,icsd_408056,Ba2 Cl7 Sc,-6.428339,-4.56418265,-4.564112663269043
7,halogens,icsd_408056,Ba2 Cl7 Sc,-6.4283385000000015,-4.56418265,-4.564112663269043
0,halogens,icsd_056832,Ba2 Cl7 Sc,-6.6171427,-4.563487575,-4.564181327819824
1,halogens,icsd_056832,Ba2 Cl7 Sc,-6.6171427,-4.563487575,-4.564181327819824
2,halogens,icsd_056832,Ba2 Cl7 Sc,-6.6171427,-4.563487575,-4.564181327819824
3,halogens,icsd_056832,Ba2 Cl7 Sc,-6.6171427,-4.563487575,-4.564181327819824
4,halogens,icsd_056832,Ba2 Cl7 Sc,-6.5025268,-4.563487575,-4.564181327819824
5,halogens,icsd_056832,Ba2 Cl7 Sc,-6.5025268,-4.563487575,-4.564181327819824
6,halogens,icsd_056832,Ba2 Cl7 Sc,-6.5025268,-4.563487575,-4.564181327819824
7,halogens,icsd_056832,Ba2 Cl7 Sc,-6.5025268,-4.563487575,-4.564181327819824
0,halogens,icsd_002191,Ba Cl2,-6.482017,-4.43060566667,-4.426393985748291
0,halogens,icsd_183924,Ba Cl2,-6.526652,-4.40658283333,-4.411651134490967
1,halogens,icsd_183924,Ba Cl2,-6.526652,-4.40658283333,-4.411651134490967
2,halogens,icsd_183924,Ba Cl2,-6.526652,-4.40658283333,-4.411651134490967
3,halogens,icsd_183924,Ba Cl2,-6.526652,-4.40658283333,-4.411651134490967
0,halogens,icsd_079891,Ba Cl2,-5.917000000000002,-4.40515583333,-4.407909870147705
1,halogens,icsd_079891,Ba Cl2,-5.917000000000002,-4.40515583333,-4.407909870147705
2,halogens,icsd_079891,Ba Cl2,-5.968387,-4.40515583333,-4.407909870147705
3,halogens,icsd_079891,Ba Cl2,-5.9683867,-4.40515583333,-4.407909870147705
0,halogens,icsd_280274,Ba2 Cl6 Co,-6.9594917,-4.192695777780002,-4.1990013122558585
1,halogens,icsd_280274,Ba2 Cl6 Co,-6.9594917,-4.192695777780002,-4.1990013122558585
2,halogens,icsd_280274,Ba2 Cl6 Co,-6.9594917,-4.192695777780002,-4.1990013122558585
3,halogens,icsd_280274,Ba2 Cl6 Co,-6.9594917,-4.192695777780002,-4.1990013122558585
4,halogens,icsd_280274,Ba2 Cl6 Co,-7.0954466,-4.192695777780002,-4.1990013122558585
5,halogens,icsd_280274,Ba2 Cl6 Co,-7.0954475000000015,-4.192695777780002,-4.1990013122558585
6,halogens,icsd_280274,Ba2 Cl6 Co,-7.0954466,-4.192695777780002,-4.1990013122558585
7,halogens,icsd_280274,Ba2 Cl6 Co,-7.0954466,-4.192695777780002,-4.1990013122558585
0,halogens,icsd_056735,Al2 Ba Cl8,-7.2708949999999986,-4.0475005,-4.048539161682129
1,halogens,icsd_056735,Al2 Ba Cl8,-7.2708949999999986,-4.0475005,-4.048539161682129
0,halogens,icsd_079892,Ba Br2,-6.129196599999998,-3.95478379167,-3.954290390014648
1,halogens,icsd_079892,Ba Br2,-6.129196599999998,-3.95478379167,-3.954290390014648
2,halogens,icsd_079892,Ba Br2,-6.0455394,-3.95478379167,-3.954290390014648
3,halogens,icsd_079892,Ba Br2,-6.0455394,-3.95478379167,-3.954290390014648
0,halogens,icsd_408341,Ba6 Cl20 In2 Zn,-6.9961259999999985,-3.9014840431,-3.900693655014038
1,halogens,icsd_408341,Ba6 Cl20 In2 Zn,-6.9961259999999985,-3.9014840431,-3.900693655014038
2,halogens,icsd_408341,Ba6 Cl20 In2 Zn,-6.9961259999999985,-3.9014840431,-3.900693655014038
3,halogens,icsd_408341,Ba6 Cl20 In2 Zn,-6.9961259999999985,-3.9014840431,-3.900693655014038
4,halogens,icsd_408341,Ba6 Cl20 In2 Zn,-7.0847826000000005,-3.9014840431,-3.900693655014038
5,halogens,icsd_408341,Ba6 Cl20 In2 Zn,-7.0847826000000005,-3.9014840431,-3.900693655014038
6,halogens,icsd_408341,Ba6 Cl20 In2 Zn,-7.0847826000000005,-3.9014840431,-3.900693655014038
7,halogens,icsd_408341,Ba6 Cl20 In2 Zn,-7.0847826000000005,-3.9014840431,-3.900693655014038
8,halogens,icsd_408341,Ba6 Cl20 In2 Zn,-6.9639463,-3.9014840431,-3.900693655014038
