site_index,site_type,id,composition,site_nrg,energyperatom,predicted_energyperatom
0,pnictogens,icsd_184053,Ba Hf N2,-3.4953058,-7.98414775,-7.970355033874513
1,pnictogens,icsd_184053,Ba Hf N2,-3.4953058,-7.98414775,-7.970355033874513
0,pnictogens,icsd_074905,Ba N2 Zr,-3.4710705,-7.53693475,-7.535227298736572
1,pnictogens,icsd_074905,Ba N2 Zr,-3.471071,-7.53693475,-7.535227298736572
0,pnictogens,icsd_415715,Ba Ca2 N12 P6,-4.982311,-7.42746294048,-7.407579898834228
1,pnictogens,icsd_415715,Ba Ca2 N12 P6,-4.9823112,-7.42746294048,-7.407579898834228
2,pnictogens,icsd_415715,Ba Ca2 N12 P6,-4.9823112,-7.42746294048,-7.407579898834228
3,pnictogens,icsd_415715,Ba Ca2 N12 P6,-4.9823112,-7.42746294048,-7.407579898834228
0,pnictogens,icsd_415716,Ba N12 P6 Sr2,-4.8005905,-7.41044688095,-7.407111167907715
1,pnictogens,icsd_415716,Ba N12 P6 Sr2,-4.8005905,-7.41044688095,-7.407111167907715
2,pnictogens,icsd_415716,Ba N12 P6 Sr2,-4.8005905,-7.41044688095,-7.407111167907715
3,pnictogens,icsd_415716,Ba N12 P6 Sr2,-4.8005905,-7.41044688095,-7.407111167907715
0,pnictogens,icsd_018107,Ba N6,-4.80545,-7.40155092857,-7.379203796386719
1,pnictogens,icsd_018107,Ba N6,-4.80545,-7.40155092857,-7.379203796386719
2,pnictogens,icsd_249141,Ba2 N15 Rb,-4.9024386,-7.18724725,-7.16767692565918
3,pnictogens,icsd_249141,Ba2 N15 Rb,-4.9024386,-7.18724725,-7.16767692565918
4,pnictogens,icsd_249141,Ba2 N15 Rb,-4.902438,-7.18724725,-7.16767692565918
5,pnictogens,icsd_249141,Ba2 N15 Rb,-4.9024386,-7.18724725,-7.16767692565918
0,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.9501674,-7.10398005357,-7.093312740325928
1,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.9501674,-7.10398005357,-7.093312740325928
2,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.7510018,-7.10398005357,-7.093312740325928
3,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.7510016,-7.10398005357,-7.093312740325928
4,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.767767,-7.10398005357,-7.093312740325928
5,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.7677672,-7.10398005357,-7.093312740325928
6,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.7677672,-7.10398005357,-7.093312740325928
7,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.767767,-7.10398005357,-7.093312740325928
8,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.610567,-7.10398005357,-7.093312740325928
9,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.610567,-7.10398005357,-7.093312740325928
10,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.610567,-7.10398005357,-7.093312740325928
11,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.610567,-7.10398005357,-7.093312740325928
12,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.8993485,-7.10398005357,-7.093312740325928
13,pnictogens,icsd_658801,Ba4 Li N7 W2,-3.8993485,-7.10398005357,-7.093312740325928
