site_index,site_type,id,composition,site_nrg,energyperatom,predicted_energyperatom
0,tetrels,icsd_070062,Ba C10,-4.7572894,-8.368114166669999,-8.364686012268066
1,tetrels,icsd_070062,Ba C10,-4.75729,-8.368114166669999,-8.364686012268066
2,tetrels,icsd_070062,Ba C10,-4.7572894,-8.368114166669999,-8.364686012268066
3,tetrels,icsd_070062,Ba C10,-4.7572904000000005,-8.368114166669999,-8.364686012268066
4,tetrels,icsd_070062,Ba C10,-4.7572894,-8.368114166669999,-8.364686012268066
5,tetrels,icsd_070062,Ba C10,-4.7572894,-8.368114166669999,-8.364686012268066
0,tetrels,icsd_050159,Ba Ir2 Si2,-3.278401,-5.785493,-5.786511421203612
1,tetrels,icsd_050159,Ba Ir2 Si2,-3.278401,-5.785493,-5.786511421203612
2,tetrels,icsd_050159,Ba Ir2 Si2,-3.278401,-5.785493,-5.786511421203612
3,tetrels,icsd_050159,Ba Ir2 Si2,-3.278401,-5.785493,-5.786511421203612
0,tetrels,icsd_080502,Ba Ge2 Mn2,-3.4280877,-5.491178400000001,-5.481016635894775
0,tetrels,icsd_094262,Ba Si23,-3.3449526,-5.23749316667,-5.247053623199463
1,tetrels,icsd_094262,Ba Si23,-3.3449526,-5.23749316667,-5.247053623199463
0,tetrels,icsd_058661,Ba Mn2 Sn2,-3.548982,-5.2098508,-5.1906023025512695
0,tetrels,icsd_050158,Ba Rh2 Si2,-3.274755,-5.17586675,-5.171464443206787
1,tetrels,icsd_050158,Ba Rh2 Si2,-3.2747555,-5.17586675,-5.171464443206787
2,tetrels,icsd_050158,Ba Rh2 Si2,-3.274755,-5.17586675,-5.171464443206787
3,tetrels,icsd_050158,Ba Rh2 Si2,-3.2747555,-5.17586675,-5.171464443206787
0,tetrels,icsd_094263,Ba3 Si23,-3.4456217,-5.104463980769999,-5.1164164543151855
1,tetrels,icsd_094263,Ba3 Si23,-3.4455955,-5.104463980769999,-5.1164164543151855
2,tetrels,icsd_094263,Ba3 Si23,-3.4457687999999997,-5.104463980769999,-5.1164164543151855
3,tetrels,icsd_094263,Ba3 Si23,-3.445622,-5.104463980769999,-5.1164164543151855
4,tetrels,icsd_094263,Ba3 Si23,-3.4455955,-5.104463980769999,-5.1164164543151855
5,tetrels,icsd_094263,Ba3 Si23,-3.4457690000000003,-5.104463980769999,-5.1164164543151855
0,tetrels,icsd_077143,Ba Ge2 Ru2,-3.0934339,-5.046427400000002,-5.041201114654541
1,tetrels,icsd_077143,Ba Ge2 Ru2,-3.0934339,-5.046427400000002,-5.041201114654541
0,tetrels,icsd_090093,Ba4 Si23,-3.338376,-5.017843277780001,-5.02960729598999
1,tetrels,icsd_090093,Ba4 Si23,-3.342006,-5.017843277780001,-5.02960729598999
2,tetrels,icsd_090093,Ba4 Si23,-3.3968968,-5.017843277780001,-5.02960729598999
3,tetrels,icsd_090093,Ba4 Si23,-3.3968992,-5.017843277780001,-5.02960729598999
4,tetrels,icsd_090093,Ba4 Si23,-3.396928,-5.017843277780001,-5.02960729598999
5,tetrels,icsd_090093,Ba4 Si23,-3.396897,-5.017843277780001,-5.02960729598999
6,tetrels,icsd_090093,Ba4 Si23,-3.3968992,-5.017843277780001,-5.02960729598999
7,tetrels,icsd_090093,Ba4 Si23,-3.396928,-5.017843277780001,-5.02960729598999
0,tetrels,icsd_409912,Ba3 Na Si23,-3.389206,-4.98533861111,-4.996465682983398
1,tetrels,icsd_409912,Ba3 Na Si23,-3.389362,-4.98533861111,-4.996465682983398
2,tetrels,icsd_409912,Ba3 Na Si23,-3.3889546000000004,-4.98533861111,-4.996465682983398
3,tetrels,icsd_409912,Ba3 Na Si23,-3.389206,-4.98533861111,-4.996465682983398
4,tetrels,icsd_409912,Ba3 Na Si23,-3.389362,-4.98533861111,-4.996465682983398
5,tetrels,icsd_409912,Ba3 Na Si23,-3.3889546000000004,-4.98533861111,-4.996465682983398
0,tetrels,icsd_174267,Ba Pt Si3,-3.3307953,-4.955464599999999,-4.949782371520996
0,tetrels,icsd_090703,Ba6 Si25,-3.3266277,-4.92067906452,-4.931756973266602
1,tetrels,icsd_090703,Ba6 Si25,-3.3266277,-4.92067906452,-4.931756973266602
2,tetrels,icsd_090703,Ba6 Si25,-3.3266277,-4.92067906452,-4.931756973266602
3,tetrels,icsd_090703,Ba6 Si25,-3.3266277,-4.92067906452,-4.931756973266602
4,tetrels,icsd_090703,Ba6 Si25,-3.3266277,-4.92067906452,-4.931756973266602
5,tetrels,icsd_090703,Ba6 Si25,-3.3266277,-4.92067906452,-4.931756973266602
6,tetrels,icsd_090703,Ba6 Si25,-3.3266277,-4.92067906452,-4.931756973266602
7,tetrels,icsd_090703,Ba6 Si25,-3.3266277,-4.92067906452,-4.931756973266602
8,tetrels,icsd_090703,Ba6 Si25,-3.3570223,-4.92067906452,-4.931756973266602
9,tetrels,icsd_090703,Ba6 Si25,-3.3570223,-4.92067906452,-4.931756973266602
10,tetrels,icsd_090703,Ba6 Si25,-3.3570223,-4.92067906452,-4.931756973266602
11,tetrels,icsd_090703,Ba6 Si25,-3.3570223,-4.92067906452,-4.931756973266602
12,tetrels,icsd_090703,Ba6 Si25,-3.3367865,-4.92067906452,-4.931756973266602
13,tetrels,icsd_090703,Ba6 Si25,-3.3367865,-4.92067906452,-4.931756973266602
14,tetrels,icsd_090703,Ba6 Si25,-3.3367865,-4.92067906452,-4.931756973266602
15,tetrels,icsd_090703,Ba6 Si25,-3.3367865,-4.92067906452,-4.931756973266602
16,tetrels,icsd_090703,Ba6 Si25,-3.3367865,-4.92067906452,-4.931756973266602
17,tetrels,icsd_090703,Ba6 Si25,-3.3367865,-4.92067906452,-4.931756973266602
18,tetrels,icsd_090703,Ba6 Si25,-3.3367865,-4.92067906452,-4.931756973266602
19,tetrels,icsd_090703,Ba6 Si25,-3.3367865,-4.92067906452,-4.931756973266602
20,tetrels,icsd_090703,Ba6 Si25,-3.3367865,-4.92067906452,-4.931756973266602
21,tetrels,icsd_090703,Ba6 Si25,-3.3367865,-4.92067906452,-4.931756973266602
22,tetrels,icsd_090703,Ba6 Si25,-3.3367865,-4.92067906452,-4.931756973266602
23,tetrels,icsd_090703,Ba6 Si25,-3.3367865,-4.92067906452,-4.931756973266602
0,tetrels,icsd_040567,Au3 Ba4 Si20,-3.3162634,-4.759399500000002,-4.765908718109131
1,tetrels,icsd_040567,Au3 Ba4 Si20,-3.316249,-4.759399500000002,-4.765908718109131
2,tetrels,icsd_040567,Au3 Ba4 Si20,-3.7757447,-4.759399500000002,-4.765908718109131
3,tetrels,icsd_040567,Au3 Ba4 Si20,-3.7758222,-4.759399500000002,-4.765908718109131
4,tetrels,icsd_040567,Au3 Ba4 Si20,-3.7757483,-4.759399500000002,-4.765908718109131
5,tetrels,icsd_040567,Au3 Ba4 Si20,-3.7757447,-4.759399500000002,-4.765908718109131
6,tetrels,icsd_040567,Au3 Ba4 Si20,-3.7758222,-4.759399500000002,-4.765908718109131
7,tetrels,icsd_040567,Au3 Ba4 Si20,-3.7757483,-4.759399500000002,-4.765908718109131
0,tetrels,icsd_077146,Ba Ge2 Rh2,-3.4084752000000003,-4.7364958,-4.7412109375
0,tetrels,icsd_015126,Ba Si2,-3.288244,-4.614857875,-4.624404430389403
1,tetrels,icsd_015126,Ba Si2,-3.2882442000000003,-4.614857875,-4.624404430389403
2,tetrels,icsd_015126,Ba Si2,-3.288244,-4.614857875,-4.624404430389403
3,tetrels,icsd_015126,Ba Si2,-3.2882442000000003,-4.614857875,-4.624404430389403
4,tetrels,icsd_015126,Ba Si2,-3.3176346,-4.614857875,-4.624404430389403
5,tetrels,icsd_015126,Ba Si2,-3.3176348,-4.614857875,-4.624404430389403
6,tetrels,icsd_015126,Ba Si2,-3.3176348,-4.614857875,-4.624404430389403
7,tetrels,icsd_015126,Ba Si2,-3.3176346,-4.614857875,-4.624404430389403
0,tetrels,icsd_001237,Ba Si2,-3.3628666,-4.60755666667,-4.609217166900635
0,tetrels,icsd_604438,Ba Pt Si,-3.391067,-4.605358,-4.606391906738281
1,tetrels,icsd_604438,Ba Pt Si,-3.391067,-4.605358,-4.606391906738281
2,tetrels,icsd_604438,Ba Pt Si,-3.391067,-4.605358,-4.606391906738281
3,tetrels,icsd_604438,Ba Pt Si,-3.391067,-4.605358,-4.606391906738281
0,tetrels,icsd_002218,Ba Si2,-3.3209295,-4.59914933333,-4.6156535148620605
1,tetrels,icsd_002218,Ba Si2,-3.3209295,-4.59914933333,-4.6156535148620605
2,tetrels,icsd_002218,Ba Si2,-3.3209295,-4.59914933333,-4.6156535148620605
3,tetrels,icsd_002218,Ba Si2,-3.3209295,-4.59914933333,-4.6156535148620605
0,tetrels,icsd_174265,Ba Ge3 Rh,-3.518574,-4.5895776,-4.5937156677246085
0,tetrels,icsd_160797,Ba Ge12 Pt4,-3.5745249,-4.58639917647,-4.593952178955078
0,tetrels,icsd_020244,Ba Si2,-3.4023385000000004,-4.58540566667,-4.601907253265381
0,tetrels,icsd_014110,Ba Ni2 Si2,-3.1591904,-4.5762955000000005,-4.57133674621582
1,tetrels,icsd_014110,Ba Ni2 Si2,-3.1591902000000003,-4.5762955000000005,-4.57133674621582
0,tetrels,icsd_409867,Ba Ge3 Pt,-3.5698385000000004,-4.5212466,-4.522139549255371
0,tetrels,icsd_280338,Ba2 Ni Si3,-3.1496658,-4.44460633333,-4.449143409729004
1,tetrels,icsd_280338,Ba2 Ni Si3,-3.149692,-4.44460633333,-4.449143409729004
2,tetrels,icsd_280338,Ba2 Ni Si3,-3.1496918,-4.44460633333,-4.449143409729004
3,tetrels,icsd_280338,Ba2 Ni Si3,-3.3548386,-4.44460633333,-4.449143409729004
4,tetrels,icsd_280338,Ba2 Ni Si3,-3.3547260000000003,-4.44460633333,-4.449143409729004
5,tetrels,icsd_280338,Ba2 Ni Si3,-3.3548384,-4.44460633333,-4.449143409729004
0,tetrels,icsd_057034,Ba4 Ge20 Ni3,-3.4577835,-4.40635653704,-4.4123711585998535
1,tetrels,icsd_057034,Ba4 Ge20 Ni3,-3.4571958,-4.40635653704,-4.4123711585998535
2,tetrels,icsd_057034,Ba4 Ge20 Ni3,-3.5202093,-4.40635653704,-4.4123711585998535
3,tetrels,icsd_057034,Ba4 Ge20 Ni3,-3.5202088,-4.40635653704,-4.4123711585998535
4,tetrels,icsd_057034,Ba4 Ge20 Ni3,-3.5202088,-4.40635653704,-4.4123711585998535
